,orders_details_id_x,line_dd,moisture_x,bulk_density,sifter_speed_nominal_pct,steam_pressure,dd_speed,temp_out,water_pct,water_correction,fat_pct,particles_grp1,particles_grp2,particles_grp3,moisture_y,elems
0,1,DD08,3,240,0.75,8,7,118,0.66,-40,0.060604,0.537341,0.210579,0.233674,11.4533,2
1,1,DD08,3.39,240,0.75,8,7.5,118,0.66,-60,0.060604,0.537341,0.210579,0.233674,11.4533,2
2,1,DD08,3.97,230,0.75,8,7.5,118,0.66,-60,0.060604,0.537341,0.210579,0.233674,11.4533,2
3,1,DD08,4.05,200,0.75,8,7.5,118,0.66,-60,0.060604,0.537341,0.210579,0.233674,11.4533,2
4,1,DD08,4,200,0.75,8,7.5,118,0.66,-60,0.060604,0.537341,0.210579,0.233674,11.4533,2
5,1,DD08,3.87,200,0.75,8,8,114,0.66,-60,0.060604,0.537341,0.210579,0.233674,11.4533,2
6,1,DD08,4.21,200,0.75,8,8.5,113,0.66,-60,0.060604,0.537341,0.210579,0.233674,11.4533,2
7,1,DD08,3.84,200,0.75,8.2,8.5,112,0.66,-60,0.060604,0.537341,0.210579,0.233674,11.4533,2
8,1,DD08,4.16,180,0.8,8.2,8.5,112,0.66,-60,0.060604,0.537341,0.210579,0.233674,11.4533,2
9,1,DD08,3.92,190,0.8,8.2,8.5,112,0.66,-60,0.060604,0.537341,0.210579,0.233674,11.4533,2
10,1,DD08,3.79,200,0.8,8.2,8.5,113,0.66,-60,0.060604,0.537341,0.210579,0.233674,11.4533,2
11,1,DD08,3.41,230,0.8,8.2,9,113,0.66,-60,0.060604,0.537341,0.210579,0.233674,11.4533,2
12,1,DD08,4.01,210,0.8,8.2,9,112,0.66,-60,0.060604,0.537341,0.210579,0.233674,11.4533,2
13,1,DD08,4.04,210,0.8,8.2,9,112,0.66,-40,0.060604,0.537341,0.210579,0.233674,11.4533,2
14,1,DD08,5.57,150,0.8,8.2,10,112,0.66,-20,0.060604,0.537341,0.210579,0.233674,11.4533,2
15,1,DD08,2.98,230,0.8,8.2,8,112,0.66,-60,0.060604,0.537341,0.210579,0.233674,11.4533,2
16,1,DD08,3.23,200,0.8,8.2,10.5,112,0.66,-40,0.060604,0.537341,0.210579,0.233674,11.4533,2
17,1,DD08,2.98,212,0.8,8.2,10,112,0.66,-40,0.060604,0.537341,0.210579,0.233674,11.4533,2
18,1,DD08,3.43,210,0.8,8.2,9.5,112,0.66,-40,0.060604,0.537341,0.210579,0.233674,11.4533,2
19,1,DD08,3.32,210,0.8,7.5,9.5,112,0.66,-40,0.060604,0.537341,0.210579,0.233674,11.4533,2
20,3,DD08,3.93,190,0.8,8,9,113,0.66,-50,0.060376,0.540704,0.211776,0.229456,11.4552,2
21,3,DD08,3.74,190,0.8,8,9,113,0.66,-50,0.060376,0.540704,0.211776,0.229456,11.4552,2
22,3,DD08,3.94,190,0.8,8,9,113,0.66,-50,0.060376,0.540704,0.211776,0.229456,11.4552,2
23,3,DD08,4.13,220,0.8,7.8,9,114,0.66,-50,0.060376,0.540704,0.211776,0.229456,11.4552,2
24,3,DD08,3.23,220,0.8,7.8,9,114,0.66,-50,0.060376,0.540704,0.211776,0.229456,11.4552,2
25,3,DD08,3.12,230,0.8,7.8,9,114,0.66,-50,0.060376,0.540704,0.211776,0.229456,11.4552,2
26,3,DD08,3.4,230,0.8,7.8,9,114,0.66,-50,0.060376,0.540704,0.211776,0.229456,11.4552,2
27,3,DD08,3.81,220,0.8,7.8,9,114,0.66,-50,0.060376,0.540704,0.211776,0.229456,11.4552,2
28,3,DD08,3.5,220,0.8,7.8,9,114,0.66,-50,0.060376,0.540704,0.211776,0.229456,11.4552,2
29,3,DD08,3.42,220,0.8,7.8,9,114,0.66,-50,0.060376,0.540704,0.211776,0.229456,11.4552,2
30,3,DD08,3.44,220,0.8,7.8,9.5,114,0.66,-50,0.060376,0.540704,0.211776,0.229456,11.4552,2
31,3,DD08,3.67,220,0.8,7.8,9.5,114,0.66,-50,0.060376,0.540704,0.211776,0.229456,11.4552,2
32,3,DD08,4.23,250,0.8,7.8,9.5,114,0.66,-50,0.060376,0.540704,0.211776,0.229456,11.4552,2
33,3,DD08,3.77,230,0.8,7.8,9.5,114,0.66,-50,0.060376,0.540704,0.211776,0.229456,11.4552,2
34,3,DD08,5.15,240,0.8,7.8,9.5,114,0.66,-50,0.060376,0.540704,0.211776,0.229456,11.4552,2
35,3,DD08,4.44,220,0.8,8,9.5,114,0.66,-50,0.060376,0.540704,0.211776,0.229456,11.4552,2
