,line_dd,process_order,testing_time,moisture_x,bulk_density,orders_details_id_y,bigbag_number,bigbag_filling_time_end,sifter_speed_nominal_pct,orders_details_id_x,steam_preasure,dd_speed,temp_out,orders_details_id_y,slurry_process_order,slurry_line,slurry_start_time,water_pct,water_correction,Unnamed: 0,id,particles_grp1,particles_grp2,particles_grp3,moisture_y,usage_pct,elems
0,DD02,101065632.0,2018-03-21 06:30:00.000,4.99,240.0,0,1,2018-03-21 06:10:00,1.0,0,6.4,10.0,125.0,0,1,SL 2,2018-03-21 06:00:00,0.66,-40.0,0,0,0.7892100000000001,0.20979,0.0,11.8881,0.9990000000000001,3
1,DD02,101065632.0,2018-03-21 07:30:00.000,4.99,240.0,0,2,2018-03-21 07:00:00,1.0,0,6.4,10.0,125.0,0,1,SL 2,2018-03-21 06:00:00,0.66,-40.0,0,0,0.7892100000000001,0.20979,0.0,11.8881,0.9990000000000001,3
2,DD02,101065632.0,2018-03-21 08:30:00.000,4.74,250.0,0,3,2018-03-21 07:50:00,1.0,0,6.4,10.0,125.0,0,1,SL 2,2018-03-21 06:00:00,0.66,-40.0,0,0,0.7892100000000001,0.20979,0.0,11.8881,0.9990000000000001,3
3,DD02,101065632.0,2018-03-21 09:30:00.000,4.68,250.0,0,5,2018-03-21 09:25:00,1.0,0,6.4,10.0,125.0,0,1,SL 2,2018-03-21 06:00:00,0.66,-40.0,0,0,0.7892100000000001,0.20979,0.0,11.8881,0.9990000000000001,3
4,DD02,101065632.0,2018-03-21 10:30:00.000,4.71,250.0,0,6,2018-03-21 10:20:00,1.0,0,6.4,10.0,125.0,0,1,SL 2,2018-03-21 06:00:00,0.66,-40.0,0,0,0.7892100000000001,0.20979,0.0,11.8881,0.9990000000000001,3
5,DD02,101065632.0,2018-03-21 11:30:00.000,4.3,250.0,0,7,2018-03-21 11:05:00,1.0,0,6.4,10.0,125.0,0,1,SL 2,2018-03-21 06:00:00,0.66,-40.0,0,0,0.7892100000000001,0.20979,0.0,11.8881,0.9990000000000001,3
6,DD02,101065632.0,2018-03-21 12:30:00.000,4.88,250.0,0,8,2018-03-21 11:50:00,1.0,0,6.4,10.0,125.0,0,1,SL 2,2018-03-21 06:00:00,0.66,-40.0,0,0,0.7892100000000001,0.20979,0.0,11.8881,0.9990000000000001,3
7,DD02,101065632.0,2018-03-21 13:30:00.000,4.58,250.0,0,10,2018-03-21 13:20:00,1.0,0,6.4,10.0,125.0,0,1,SL 2,2018-03-21 06:00:00,0.66,-40.0,0,0,0.7892100000000001,0.20979,0.0,11.8881,0.9990000000000001,3
8,DD02,101065632.0,2018-03-21 14:30:00.000,4.33,240.0,0,11,2018-03-21 14:15:00,1.0,0,6.4,10.0,125.0,0,2,SL 2,2018-03-21 14:00:00,0.66,-40.0,0,0,0.7892100000000001,0.20979,0.0,11.8881,0.9990000000000001,3
9,DD02,101065632.0,2018-03-21 17:30:00.000,4.39,240.0,0,13,2018-03-21 15:20:00,1.0,0,6.4,10.0,125.0,0,3,SL 2,2018-03-21 16:20:00,0.66,-40.0,0,0,0.7892100000000001,0.20979,0.0,11.8881,0.9990000000000001,3
10,DD02,101065632.0,2018-03-21 18:30:00.000,4.77,250.0,0,15,2018-03-21 18:20:00,1.0,0,6.1,10.0,125.0,0,3,SL 2,2018-03-21 16:20:00,0.66,-40.0,0,0,0.7892100000000001,0.20979,0.0,11.8881,0.9990000000000001,3
11,DD02,101065632.0,2018-03-21 19:30:00.000,4.94,230.0,0,16,2018-03-21 19:05:00,1.0,0,6.1,10.0,125.0,0,3,SL 2,2018-03-21 16:20:00,0.66,-40.0,0,0,0.7892100000000001,0.20979,0.0,11.8881,0.9990000000000001,3
12,DD02,101065632.0,2018-03-21 20:30:00.000,4.95,240.0,0,17,2018-03-21 19:50:00,1.0,0,6.1,10.0,125.0,0,3,SL 2,2018-03-21 16:20:00,0.66,-40.0,0,0,0.7892100000000001,0.20979,0.0,11.8881,0.9990000000000001,3
13,DD02,101065632.0,2018-03-21 21:30:00.000,4.87,230.0,0,19,2018-03-21 21:25:00,1.0,0,6.1,10.0,125.0,0,3,SL 2,2018-03-21 16:20:00,0.66,-40.0,0,0,0.7892100000000001,0.20979,0.0,11.8881,0.9990000000000001,3
14,DD02,101065632.0,2018-03-21 22:30:00.000,4.2,250.0,0,20,2018-03-21 22:10:00,1.0,0,6.1,10.0,125.0,0,4,SL 2,2018-03-21 22:00:00,0.66,-40.0,0,0,0.7892100000000001,0.20979,0.0,11.8881,0.9990000000000001,3
15,DD02,101065632.0,2018-03-21 23:30:00.000,4.98,250.0,0,21,2018-03-21 23:00:00,1.0,0,6.2,10.0,125.0,0,4,SL 2,2018-03-21 22:00:00,0.66,-40.0,0,0,0.7892100000000001,0.20979,0.0,11.8881,0.9990000000000001,3
16,DD02,101065632.0,2018-03-22 00:30:00.000,4.9,250.0,0,23,2018-03-22 00:30:00,1.0,0,6.2,10.0,125.0,0,4,SL 2,2018-03-21 22:00:00,0.66,-40.0,0,0,0.7892100000000001,0.20979,0.0,11.8881,0.9990000000000001,3
17,DD02,101065632.0,2018-03-22 01:30:00.000,4.81,240.0,0,24,2018-03-22 01:20:00,1.0,0,6.2,10.0,125.0,0,4,SL 2,2018-03-21 22:00:00,0.66,-40.0,0,0,0.7892100000000001,0.20979,0.0,11.8881,0.9990000000000001,3
18,DD02,101065632.0,2018-03-22 02:30:00.000,4.8,240.0,0,25,2018-03-22 02:05:00,1.0,0,6.2,10.0,125.0,0,4,SL 2,2018-03-21 22:00:00,0.66,-40.0,0,0,0.7892100000000001,0.20979,0.0,11.8881,0.9990000000000001,3
19,DD02,101065632.0,2018-03-22 03:30:00.000,4.87,240.0,0,26,2018-03-22 02:50:00,1.0,0,6.2,10.0,125.0,0,4,SL 2,2018-03-21 22:00:00,0.66,-40.0,0,0,0.7892100000000001,0.20979,0.0,11.8881,0.9990000000000001,3
20,DD02,101065632.0,2018-03-22 04:30:00.000,4.82,240.0,0,28,2018-03-22 04:30:00,1.0,0,6.2,10.0,125.0,0,4,SL 2,2018-03-21 22:00:00,0.66,-40.0,0,0,0.7892100000000001,0.20979,0.0,11.8881,0.9990000000000001,3
21,DD02,101065632.0,2018-03-22 05:30:00.000,4.89,240.0,0,29,2018-03-22 05:15:00,1.0,0,6.2,10.0,125.0,0,4,SL 2,2018-03-21 22:00:00,0.66,-40.0,0,0,0.7892100000000001,0.20979,0.0,11.8881,0.9990000000000001,3
22,DD02,101066007.0,2018-03-22 06:30:00.000,3.88,230.0,1,1,2018-03-22 06:05:00,1.0,1,6.2,10.0,125.0,1,1,SL 2,2018-03-22 06:00:00,0.66,-40.0,1,1,0.79,0.21,0.0,11.8368,1.0,3
23,DD02,101066007.0,2018-03-22 07:30:00.000,3.27,230.0,1,2,2018-03-22 07:00:00,1.0,1,6.2,10.0,125.0,1,1,SL 2,2018-03-22 06:00:00,0.66,-40.0,1,1,0.79,0.21,0.0,11.8368,1.0,3
24,DD02,101066007.0,2018-03-22 08:30:00.000,4.04,230.0,1,3,2018-03-22 07:45:00,1.0,1,6.2,10.0,125.0,1,1,SL 2,2018-03-22 06:00:00,0.66,-40.0,1,1,0.79,0.21,0.0,11.8368,1.0,3
25,DD02,101066007.0,2018-03-22 09:30:00.000,4.4,230.0,1,5,2018-03-22 09:25:00,1.0,1,6.2,10.0,125.0,1,1,SL 2,2018-03-22 06:00:00,0.66,-40.0,1,1,0.79,0.21,0.0,11.8368,1.0,3
26,DD02,101066007.0,2018-03-22 10:30:00.000,4.51,230.0,1,6,2018-03-22 10:15:00,1.0,1,6.2,10.0,125.0,1,1,SL 2,2018-03-22 06:00:00,0.66,-40.0,1,1,0.79,0.21,0.0,11.8368,1.0,3
27,DD02,101066007.0,2018-03-22 11:30:00.000,4.58,230.0,1,7,2018-03-22 11:00:00,1.0,1,6.2,10.0,125.0,1,1,SL 2,2018-03-22 06:00:00,0.66,-40.0,1,1,0.79,0.21,0.0,11.8368,1.0,3
